id_cliente,fecha,estrellas,texto
Cliente_145e49cf,2024-10-17T21:32:56.313Z,2,"No pidáis lomo al shisky porque está demasiado fuerte, pedirse una botella de agua de 1litro mínimo. Los chocos / rejos muy poco Limon y sabor. El montadito con 3k de jamón demasiado para lo que es. Por lo demás mejor un sitio de cerveceo pero comida mala o muy mejorable."
Cliente_14e60e34,2024-10-13T15:55:30.126Z,5,Muy buena atención
Cliente_04f82f48,2024-09-20T10:13:38.437Z,3,"La comida regular, el servicio bien pero el personal va un poco saturado y rápido, 1 trabajador mas no les vendría mal. O vas tempranito o te toca esperar 1h de cola como a mí para después ser poca calidad en las tapas. Para cerveceo y picoteo va genial para comer o cenar ya la cosa cambia un poco."
Cliente_0f236878,2024-09-19T00:02:53.515Z,5,"El mejor servicio que he recibido en mi vida y todo gracias al camarero llamado Ismael, muy amable y todo riquísimo y al momento. Muy recomendable."
Cliente_9d329a85,2024-09-12T13:51:19.110Z,4,A veces tardan un poco en servir algunos platos.
Cliente_8ff031c0,2024-09-08T14:03:14.887Z,5,"Muy buen sitio, lo recomiendo sobre todo si esta Ismael el camarero. Súper buena persona, servicial, atento. He venido por primera vez y me ha encantado tanto la comida como el servicio. Más sitios deberían haber como este . No dudéis en venir."
Cliente_e584d4ad,2024-08-19T21:59:25.952Z,5,Un lugar muy agradable con un servicio excepcional.  la gambas riquísimas y los flamenquines de roquefort deliciosos.
Cliente_0c529736,2024-08-17T17:09:09.180Z,1,"Fui con mi familia a cenar y estuvimos esperando a que una mesa la dejaran libre en cuanto la dejaron libre nosotros nos sentamos y al cabo de un rato viene el camarero a comunicarnos de que teníamos que pedir número en la barra y que nos teniamos que ir ,solo era para dejarselo a una familia que el conocía y nosotros estábamos antes que ellos."
Cliente_fd14151b,2024-08-10T00:56:38.381Z,5,"Uno de los mejores o sino el mejor en calidad - precio - cantidad y diría que es de los pocos bares cervecerías ,donde te atienden rapidísimo y donde sales satisfecho, recomiendo que comen la tapa de Pavía,lagrimitas de pollo, y el flamenquin de York y queso"
Cliente_b501558c,2024-08-09T20:52:24.254Z,5,👍🏾😀👍🏾😀
Cliente_b223b155,2024-08-02T22:28:46.855Z,5,"Un trato fantastico, y muy bueno todo"
Cliente_9b77e9a8,2024-08-02T00:04:58.587Z,4,"Es uno de los mejores bares para comer o cenar. Los precios son económicos y el marisco fresco.
Dependiendo del día lo hacen mejor o peor, es totalmente normal porque está todo petado.
La comida que está aliñada está buenísimo, siempre está rico.
El único inconveniente es cuando pides un montadito o carne a la plancha, etc, te la traen un poco seca y algo quemada, por el resto, todo bien.

Supongo que tenemos normalizado que las cocineras toqueteen las cosas sin guantes porque es lo mismo. Para mí, es desagradable ver cómo me hacen la comida porque se rascan la cara o la nariz... No se limpian las mano, abren el pan, bueno... La cocina hace calor, mucha calor, las pobres sudan, pero se secan el sudor con las manos, y siguen cocinando y toqueteando la comida con las manos, a mí se me quita un poco el apetito.
En fin, pero eso pasa en todos los sitios, creo."
Cliente_fc1e60f6,2024-07-26T22:13:45.595Z,2,"Hay un antes y después en este bar…. Yo me quedo con él antes , cuando lo gobernaba Juanlu ……."
Cliente_bcfa5f68,2024-07-23T18:37:12.454Z,4,"Buen sitio para tomarte una cervecita con una ensaladilla de gambas, muy recomendable"
Cliente_be28242f,2024-07-22T20:15:42.370Z,1,"Fuimos a comer mi familia y yo y el camarero de la barra que por cierto era rubio y había mesas libres nos dijo de manera borde que hay no os ponéis que no cabeis ¡¡no,no!! fueron sus palabras echándonos sin tomarnos comanda."
Cliente_18c6e955,2024-07-21T20:53:47.768Z,1,"Han bajado mucho la cantidad de los platos,pero no la calidad"
Cliente_7cebf91a,2024-07-20T19:47:52.366Z,5,Comida buena y ajustada a su precio. Todo perfecto. Muy buena atención por parte de los camareros.
Cliente_c71b3c12,2024-07-11T04:25:37.546Z,5,Buen sitio para tomar una cerveza con unas tapas o montaditos muy bien echos...
Cliente_895c8356,2024-06-25T13:47:45.803Z,5,"El camarero super atento a pesar de estar prácticamente solo en la terraza, los chocos buenísimos, las gambas estaban bien pero se podían superar, tengo que decir a su favor que era Lunes, igual por eso ....
Pero en general muy bien!!"
Cliente_2f07b08a,2024-06-12T21:07:14.066Z,5,"Todo muy bueno, recomendable 100%"
Cliente_6643e2f8,2024-06-11T15:10:48.461Z,3,"La tapa de ensaladilla de gambas no vio las gambas ni por foto, eran patatas con mayonesa y la carrillera la verdad la dejé entera para mi gusto no volveré a repetir."
Cliente_c3e59814,2024-05-20T15:29:30.862Z,4,Como siempre bien sitio para unas cervezas y tapear destacar la atención del camarero Ismael muy amable y profesional chapó por el
Cliente_2a7e6505,2024-05-19T15:08:13.807Z,5,Buena comida a muy buen precio
Cliente_e0b823f5,2024-05-04T16:58:38.748Z,4,"Variedad para comer, el interior pequeño,  la terraza algo incómoda."
Cliente_b429a6ac,2024-04-25T05:32:56.520Z,5,"Somos clientes habituales, es el sitio perfecto para tomarte desde tu cervecita fresquita hasta tapear bueno, bonito y barato."
Cliente_9616e161,2024-04-16T12:03:11.874Z,5,"De los mejores bares de huelva, la calidad precio es increíble, servicio muy rápido y atento y comida de primera calidad."
Cliente_5fb6a88d,2024-04-06T20:04:13.002Z,5,Buena comida a precios de mercado y unos camareros muy atentos.
Cliente_b2f15793,2024-03-25T17:36:15.854Z,5,Buen sitio para tapear. Nos gusto mucho el montadito de chorizo y las lágrimitas de pollo
Cliente_714d9230,2024-03-21T00:21:18.811Z,5,"Muy buen ambiente, nos han atendido muy bien y la comida muy rica"
Cliente_a91eeb23,2024-03-16T18:38:23.582Z,5,"Buena comida, servicio rápido y personal amable"
Cliente_8634d8ad,2024-02-19T21:38:37.522Z,4,"Buenísimo, una atención excelente,la comida perfecta"
Cliente_d9186008,2024-02-06T12:14:01.072Z,5,"Comí cosas con nombres que en Mallorca ni conocemos pero que estaban buenísimas. Además la gamba de Huelva blanca y aquí lo hice.  Sólo tengo está foto de toda la comida. Comimos capirotes de langostinos, ensaladilla de marisco, croquetas de queso de búfala y arándanos, solomillo a la pimienta y más cosas que no recuerdo, pero esto es tapeo, Huelva funciona por tapeo, no esperes encontrar menús. Pero genial"
Cliente_71aa0e1f,2024-01-25T20:55:16.134Z,2,"Voy de vez en cuando con mi familia y en general tiene buen ambiente, comida rica y a buen precio además de buen servicio por el personal. Pero le pongo bajas estrellas porque a pesar de tener una terraza cubierta con carteles de prohibido fumar por todos lados, siempre está todo el mundo fumando y tenemos que comer con tabaco y humo, por mucho que se lo digas a los camareros al final siempre vuelven a lo mismo."
Cliente_3604338d,2024-01-03T05:49:46.240Z,5,"Bueno, bonito y barato. Recomendable para tapear"
Cliente_c8a5b764,2023-12-06T14:19:42.332Z,5,"Experiencia espectacular, gracias a nuestro camarero Raúl, super atento, amable, servicial y super profesional.
Comida muy buena, cantidades muy generosas y buenos precios."
Cliente_96228a11,2023-11-28T21:28:33.686Z,2,"Estuvimos en la terraza, pedimos unas tapas no me entusiasmaron mucho, la ensaladilla de marisco no me gustó mucho, la carrillera estaba muy fuerte, las albóndigas bien pero fria, eso sí la cerveza estaba fría, de precio estaba bien."
Cliente_8d7edcb0,2023-11-26T18:23:18.227Z,5,Obligatorio pedir gambas. Están buenísimas. Además tienen un amplio surtido de tapas y montaditos. Ponen la cerveza más fría de Huelva. Sin lugar a dudas sitio muy recomendable
Cliente_5d8dfd04,2023-11-24T22:13:07.955Z,1,"Sinceramente al dueño del bar le diría que se plantease cambiar al camarero de la coleta, que encima era el encargado. Un impresentable. Una persona que está de cara al público tiene que ser educado, no servir con malos modales. Ya van dos veces así, no volveremos.
Un saludo."
Cliente_07973a34,2023-11-12T09:27:43.937Z,5,No hay mejor bar calidad precio.
Cliente_d2fec1a2,2023-11-06T22:33:23.366Z,5,Muy recomendable
Cliente_da033cce,2023-10-03T07:13:27.340Z,5,Buena cervecería.
Cliente_df8bf41a,2023-10-02T12:30:44.463Z,5,"La comida buenísima, y el trato estupendo.
100%recomendable."
Cliente_a5658fc0,2023-08-27T12:11:14.481Z,5,"Un lugar con comida de calidad, servicio rápido y buen ambiente.
Es ideal tanto para picar algo con amigos cómo para comer con la familia."
Cliente_c9412603,2023-08-27T09:42:58.275Z,5,"Voy mucho por allí y el servicio siempre es el mismo. Buena comida, atienden muy rápido y muy amables.

Para repetir!"
Cliente_7fbf9ef2,2023-08-18T17:11:24.924Z,5,"Hemos ido varía veces, tienen una carta muy amplia y cerveza muy fría. Genial para echar una tarde con los amigos. Precio muy económico."
Cliente_1f4d85e6,2023-08-09T10:36:15.136Z,5,"Excelente en todos los sentidos,sobre todo poder entrar en el comedor de dentro con mi perrita,q es igual q educada o más q cualquier persona"
Cliente_cfb70313,2023-08-06T02:16:04.027Z,5,"Lugar económico y 100% recomendable. Si no vas temprano tienes que esperar para coger sitio. La comida esta genial  me encantan los capirotes de langostinos! Ensaladilla, cuerpos, tortilla de patatas... repetimos siempre que podemos"
Cliente_0a7de3c0,2023-08-02T22:05:47.474Z,5,Nos atendieron muy bien y la comida estaba buenísima. En general me gusta más este que el otro con bastante diferencia.
Cliente_c7d8824b,2023-07-27T22:47:21.011Z,1,"Muy lento el servicio, tardaron mucho en traer la comida, y en el caso de las croquetas la trajeron frías, se la volvieron a llevar y para traerlas de nuevo tardaron otro rato."
Cliente_f312ee89,2023-07-25T15:57:54.413Z,5,"Es la primera que voy a este rey del barril y no al del centro y súper bien, de hecho está más vacío que el otro. Es un sitio barato donde se come genial. Por ponerles una pega es que les falta el plato de las berenjenas que hay en el otro restaurante."
Cliente_efaa1a62,2023-07-08T21:13:21.734Z,5,Para tomar unas cervezas con unas tapas sencillas y a muy buen precio. En verano hay que ir temprano para coger sitio
Cliente_a2273509,2023-06-28T06:38:27.610Z,3,"Bueno en realidad todo bien ,va todo pesado,no te comes ni una gamba de más ni una de menos🤣.
Mi marido comió pulpo y estaba muy duro. Por lo demás bien."
Cliente_821e2891,2023-06-26T12:21:41.465Z,5,Un lugar limpio buenas tapas y precios ñopulares
Cliente_94b47978,2023-06-25T17:22:41.339Z,5,"Comida buenísima y muy barata. Tienen mucha calidad, hay mucha variedad de tapas y los platos son grandes y vienen con mucha cantidad. El servicio es buenísimo, los dos chicos camareros que nos atendieron eran majísimos y muy atentos. Sin duda, repetiré."
Cliente_e7875ee6,2023-06-06T11:24:33.242Z,5,"Se come bien, gran variedad, se está a gusto y el ambiente es muy tranquilo. Si quieres cenar bien y barato este sitio es uno de los adecuados. Tiene varios lugares en Huelva y todas las veces que hemos ido, hemos acabado contentos. Sobre todo lo mejor es ir varias personas para poder probar varios platos."
Cliente_a674b761,2023-06-05T15:34:50.616Z,3,"La calidad precio está muy bien, lastima que el camarero vaya a su bola"
Cliente_a2145112,2023-06-02T11:02:34.891Z,5,De los pocos bares BBB que quedan en Huelva
Cliente_4382f0d6,2023-05-26T13:39:55.651Z,4,"Buen sitio para cervezas o tapas simples. No tienen mucha variedad pero está bien de precio. No sirven en mesa, tienes que pedir tu en la barra y solo te llevan las tapas que son de cocina."
Cliente_fe7d07a1,2023-05-16T15:28:44.994Z,3,"Nada del otro mundo, en todo...."
Cliente_6d0e9ae8,2023-05-14T13:17:39.641Z,5,"Gran variedad, atentos,ideal para pasar un buen rato con la familia o amigos"
Cliente_ca777c80,2023-05-09T11:09:34.095Z,4,Las gambas y todo lo que ponen esta riquísimo.  Los camareros muy competentes y te atienden rápido. Lo único negativo es que aquí no hacen reservas de mesas según me dijo uno de los camareros y sin embargo en el que esta en la Avda. de la Ría si hacen reservas. Por eso dejo solo 4 estrellas.
Cliente_b5d28117,2023-05-02T17:46:53.866Z,4,"Buenas tapitas y raciones, cerveza fresquita y buen trato, recomendable"
Cliente_40b63f88,2023-04-28T21:06:02.696Z,5,"Buena comida,variedad, se come muy bien y te atienden rapido"
Cliente_8e776220,2023-04-25T14:46:28.898Z,4,"Tapas algo escasas para el precio, eso si muy ricas"
Cliente_05d2e315,2023-04-14T21:06:09.339Z,5,Lo mejor la atenció y rapidez. Variedad de tapas. La cerveza siempre fresca. Muy buenos precios
